id,19940101,31,11,55
id,19940102,47,2,81
id,19940103,62,37,89
id,19940104,64,48,84
id,19940105,57,38,87
id,19940106,64,40,81
id,19940107,46,25,61
id,19940108,27,10,43
id,19940109,20,-2,41
id,19940110,45,26,61
id,19940111,52,30,64
id,19940112,90,57,122
id,19940113,94,77,122
id,19940114,72,53,82
id,19940115,54,39,68
id,19940116,19,-25,51
id,19940117,-6,-43,41
id,19940118,25,-1,40
id,19940119,25,-6,32
id,19940120,30,-20,59
id,19940121,52,44,63
id,19940122,73,52,89
id,19940123,77,43,104
id,19940124,43,14,65
id,19940125,84,49,116
id,19940126,60,41,73
id,19940127,87,42,109
id,19940128,39,9,60
id,19940129,43,21,83
id,19940130,73,50,98
id,19940131,57,39,77
id,19940201,53,37,72
id,19940202,39,-11,69
id,19940203,24,-10,49
id,19940204,56,42,73
id,19940205,43,23,58
id,19940206,40,17,76
id,19940207,40,8,64
id,19940208,43,2,86
id,19940209,46,5,82
id,19940210,51,31,77
id,19940211,24,-4,43
id,19940212,6,-12,30
id,19940213,-31,-73,-1
id,19940214,-44,-79,-10
id,19940215,-4,-43,25
id,19940216,6,-48,54
id,19940217,-20,-81,46
id,19940218,-16,-64,44
id,19940219,-24,-71,40
id,19940220,-47,-86,-2
id,19940221,-58,-101,-23
id,19940222,-35,-75,-13
id,19940223,-4,-23,23
id,19940224,-3,-9,7
id,19940225,8,-11,36
id,19940226,68,16,113
id,19940227,75,39,113
id,19940228,79,51,112
id,19940301,67,51,82
id,19940302,48,37,73
id,19940303,57,29,90
id,19940304,61,19,101
id,19940305,74,18,127
id,19940306,67,31,100
id,19940307,93,71,121
id,19940308,98,89,123
id,19940309,88,69,97
id,19940310,65,8,102
id,19940311,50,-11,107
id,19940312,63,39,96
id,19940313,82,59,108
id,19940314,95,56,121
id,19940315,68,47,102
id,19940316,59,32,87
id,19940317,50,29,68
id,19940318,58,31,89
id,19940319,55,17,92
id,19940320,49,18,74
id,19940321,39,-16,81
id,19940322,41,-23,86
id,19940323,110,85,128
id,19940324,95,79,112
id,19940325,87,50,108
id,19940326,53,8,90
id,19940327,46,-15,88
id,19940328,88,45,128
id,19940329,114,88,139
id,19940330,135,77,189
id,19940331,114,77,166
id,19940401,90,46,118
id,19940402,53,14,91
id,19940403,58,15,97
id,19940404,55,17,112
id,19940405,38,15,70
id,19940406,50,-3,100
id,19940407,50,-8,95
id,19940408,69,47,97
id,19940409,44,-4,84
id,19940410,44,-7,93
id,19940411,91,58,133
id,19940412,87,44,128
id,19940413,79,52,110
id,19940414,61,41,98
id,19940415,63,40,84
id,19940416,79,32,133
id,19940417,61,47,87
id,19940418,56,-3,105
id,19940419,48,-17,96
id,19940420,70,3,145
id,19940421,78,17,138
id,19940422,102,8,179
id,19940423,146,67,226
id,19940424,128,62,205
id,19940425,104,44,146
id,19940426,110,56,143
id,19940427,132,102,148
id,19940428,132,75,183
id,19940429,143,65,215
id,19940430,130,66,191
id,19940501,83,57,113
id,19940502,89,13,144
id,19940503,138,50,203
id,19940504,120,78,156
id,19940505,109,76,146
id,19940506,115,87,135
id,19940507,161,122,200
id,19940508,116,83,167
id,19940509,99,64,129
id,19940510,106,63,139
id,19940511,146,67,214
id,19940512,176,121,233
id,19940513,163,106,218
id,19940514,168,112,243
id,19940515,142,85,187
id,19940516,127,77,182
id,19940517,128,95,170
id,19940518,122,69,168
id,19940519,121,76,162
id,19940520,126,70,186
id,19940521,143,118,176
id,19940522,134,98,178
id,19940523,121,78,156
id,19940524,130,87,170
id,19940525,124,91,139
id,19940526,113,84,154
id,19940527,107,84,134
id,19940528,104,77,127
id,19940529,88,41,138
id,19940530,92,21,143
id,19940531,122,25,187
id,19940601,176,54,246
id,19940602,158,116,192
id,19940603,139,105,175
id,19940604,109,95,142
id,19940605,115,82,142
id,19940606,125,84,149
id,19940607,135,111,149
id,19940608,116,69,163
id,19940609,107,45,144
id,19940610,115,80,149
id,19940611,116,73,161
id,19940612,131,76,185
id,19940613,136,58,191
id,19940614,147,66,217
id,19940615,136,66,184
id,19940616,126,114,151
id,19940617,133,102,165
id,19940618,160,126,197
id,19940619,160,127,184
id,19940620,161,143,183
id,19940621,169,140,191
id,19940622,162,92,196
id,19940623,142,72,193
id,19940624,192,92,259
id,19940625,194,144,247
id,19940626,188,139,240
id,19940627,179,134,242
id,19940628,221,143,297
id,19940629,190,113,242
id,19940630,173,100,230
id,19940701,199,115,262
id,19940702,234,152,301
id,19940703,229,175,291
id,19940704,218,180,268
id,19940705,175,106,207
id,19940706,166,96,219
id,19940707,144,100,186
id,19940708,167,102,214
id,19940709,184,132,232
id,19940710,195,108,255
id,19940711,231,148,293
id,19940712,253,179,318
id,19940713,245,190,305
id,19940714,202,155,244
id,19940715,196,135,id
id,19940716,199,151,247
id,19940717,191,143,249
id,19940718,189,124,247
id,19940719,209,149,268
id,19940720,215,147,274
id,19940721,227,143,294
id,19940722,233,173,295
id,19940723,240,181,307
id,19940724,266,177,341
id,19940725,236,187,290
id,19940726,232,169,296
id,19940727,244,190,309
id,19940728,217,180,271
id,19940729,205,163,256
id,19940730,236,156,310
id,19940731,243,158,316
id,19940801,188,145,227
id,19940802,200,126,256
id,19940803,235,152,299
id,19940804,258,178,339
id,19940805,217,173,257
id,19940806,209,171,256
id,19940807,188,150,239
id,19940808,179,120,226
id,19940809,182,110,231
id,19940810,198,150,251
id,19940811,199,162,242
id,19940812,161,143,178
id,19940813,152,112,188
id,19940814,136,77,185
id,19940815,131,56,192
id,19940816,158,80,228
id,19940817,145,109,191
id,19940818,156,121,188
id,19940819,166,137,192
id,19940820,157,105,200
id,19940821,166,103,224
id,19940822,185,128,233
id,19940823,187,158,227
id,19940824,175,139,214
id,19940825,167,123,215
id,19940826,164,126,203
id,19940827,163,125,213
id,19940828,154,122,190
id,19940829,149,119,195
id,19940830,153,114,205
id,19940831,170,105,218
id,19940901,168,147,188
id,19940902,154,135,189
id,19940903,151,97,185
id,19940904,164,99,194
id,19940905,148,91,185
id,19940906,132,91,179
id,19940907,126,87,175
id,19940908,135,102,193
id,19940909,127,95,172
id,19940910,128,93,171
id,19940911,126,95,152
id,19940912,154,126,211
id,19940913,144,111,189
id,19940914,128,105,144
id,19940915,124,110,141
id,19940916,117,96,145
id,19940917,115,95,136
id,19940918,131,107,171
id,19940919,124,103,162
id,19940920,109,99,121
id,19940921,132,97,178
id,19940922,125,85,181
id,19940923,139,72,197
id,19940924,146,99,202
id,19940925,148,90,207
id,19940926,143,112,186
id,19940927,137,109,164
id,19940928,129,88,179
id,19940929,139,125,158
id,19940930,139,109,166
id,19941001,130,109,151
id,19941002,136,109,172
id,19941003,96,42,148
id,19941004,60,38,97
id,19941005,79,48,118
id,19941006,93,53,126
id,19941007,84,36,135
id,19941008,79,18,139
id,19941009,89,43,156
id,19941010,92,31,156
id,19941011,93,40,169
id,19941012,77,20,142
id,19941013,104,75,160
id,19941014,100,37,187
id,19941015,94,31,176
id,19941016,103,80,128
id,19941017,58,13,103
id,19941018,53,-2,109
id,19941019,75,28,120
id,19941020,75,31,113
id,19941021,97,58,131
id,19941022,127,85,150
id,19941023,123,94,168
id,19941024,101,81,138
id,19941025,96,77,125
id,19941026,82,59,112
id,19941027,76,57,105
id,19941028,74,51,111
id,19941029,84,48,118
id,19941030,139,103,154
id,19941031,131,116,150
id,19941101,102,44,133
id,19941102,67,16,118
id,19941103,116,68,157
id,19941104,139,110,177
id,19941105,133,105,175
id,19941106,123,102,149
id,19941107,111,102,124
id,19941108,101,85,116
id,19941109,95,69,115
id,19941110,105,97,118
id,19941111,106,98,117
id,19941112,97,73,116
id,19941113,113,92,135
id,19941114,140,128,148
id,19941115,126,107,142
id,19941116,93,61,115
id,19941117,93,64,115
id,19941118,97,70,123
id,19941119,114,66,145
id,19941120,135,91,147
id,19941121,88,65,116
id,19941122,80,50,113
id,19941123,106,67,126
id,19941124,92,30,119
id,19941125,70,21,113
id,19941126,112,94,123
id,19941127,99,94,107
id,19941128,84,19,126
id,19941129,63,25,80
id,19941130,55,41,60
id,19941201,31,10,64
id,19941202,20,-2,47
id,19941203,80,22,124
id,19941204,96,65,128
id,19941205,95,77,109
id,19941206,74,47,102
id,19941207,69,39,97
id,19941208,86,58,104
id,19941209,55,-10,95
id,19941210,64,-13,137
id,19941211,129,114,140
id,19941212,126,111,137
id,19941213,99,58,135
id,19941214,29,-9,78
id,19941215,0,-27,16
id,19941216,30,-7,90
id,19941217,29,-7,61
id,19941218,60,51,67
id,19941219,53,27,70
id,19941220,31,-4,64
id,19941221,19,-19,62
id,19941222,-10,-37,47
id,19941223,-15,-39,0
id,19941224,-41,-67,-1
id,19941225,-28,-56,-5
id,19941226,17,-5,53
id,19941227,93,53,113
id,19941228,125,108,140
id,19941229,109,73,134
id,19941230,67,57,81
id,19941231,50,14,75
