Country,Energy,Biofuels,Hydropower,Wind,Solar,Geothermal
BE,6.7,5.2,0.1,0.9,0.5,0.0
BG,10.8,6.5,2.6,0.7,0.8,0.2
CZ,10.1,9.1,0.4,0.1,0.5,0.0
DK,28.4,20.6,0.0,7.2,0.5,0.0
DE,12.2,8.2,0.5,2.2,1.3,0.1
EE,14.5,13.5,0.0,1.0,0.0,0.0
IE,7.6,3.0,0.5,4.0,0.1,0.0
GR,11.3,5.4,2.1,1.6,2.2,0.0
ES,13.7,5.6,2.0,3.5,2.6,0.0
FR,8.6,5.7,1.9,0.7,0.3,0.1
HR,23.0,15.5,6.4,0.8,0.2,0.1
IT,16.8,8.6,2.5,0.8,1.4,3.5
CY,6.5,2.1,0.0,0.8,3.5,0.1
LV,35.1,31.2,3.7,0.3,0.0,0.0
LT,20.5,19.0,0.4,1.0,0.1,0.0
LU,4.9,4.2,0.2,0.2,0.3,0.0
HU,12.0,11.1,0.1,0.2,0.1,0.4
MA,2.6,1.0,0.0,0.0,1.6,0.0
NL,4.7,3.6,0.0,0.8,0.2,0.1
AT,29.0,17.3,9.6,1.3,0.8,0.1
PL,9.4,8.2,0.2,1.0,0.1,0.0
RO,18.4,11.5,4.4,1.9,0.5,0.1
SI,16.1,9.9,5.0,0.0,0.5,0.7
SK,9.6,7.2,2.0,0.0,0.3,0.0
FI,31.6,26.7,4.3,0.6,0.0,0.0
SE,42.2,24.8,14.2,3.1,0.0,0.0
GB,7.7,5.3,0.3,1.8,0.4,0.0
IS,84.9,0.3,20.4,0.0,0.0,64.2
NO,44.7,4.5,39.5,0.7,0.0,0.0
AL,34.3,10.7,23.1,0.0,0.6,0.0
ME,30.0,17.5,12.5,0.0,0.0,0.0
MK,15.6,8.9,5.9,0.4,0.1,0.3
TR,11.9,2.4,4.4,0.8,0.6,3.7